,Date,Records,PctTotal,NoDir,PctNoDir
0,2020-10-04,288,100.0,0,0.0
0,2020-10-05,288,100.0,0,0.0
0,2020-10-06,288,100.0,0,0.0
0,2020-10-07,288,100.0,0,0.0
0,2020-10-08,288,100.0,0,0.0
0,2020-10-09,288,100.0,0,0.0
0,2020-10-10,288,100.0,0,0.0
0,2020-10-11,288,100.0,0,0.0
0,2020-10-12,288,100.0,35,12.2
0,2020-10-13,274,95.1,0,0.0
0,2020-10-14,270,93.8,0,0.0
0,2020-10-15,288,100.0,0,0.0
0,2020-10-16,287,99.7,0,0.0
0,2020-10-17,283,98.3,0,0.0
0,2020-10-18,288,100.0,0,0.0
0,2020-10-19,272,94.4,0,0.0
0,2020-10-20,288,100.0,0,0.0
0,2020-10-21,288,100.0,0,0.0
0,2020-10-22,288,100.0,0,0.0
0,2020-10-23,288,100.0,0,0.0
0,2020-10-24,287,99.7,0,0.0
0,2020-10-25,288,100.0,0,0.0
0,2020-10-26,288,100.0,0,0.0
0,2020-10-27,288,100.0,0,0.0
0,2020-10-28,288,100.0,0,0.0
0,2020-10-29,288,100.0,0,0.0
0,2020-10-30,287,99.7,0,0.0
0,2020-10-31,287,99.7,0,0.0
0,2020-11-01,300,104.2,0,0.0
0,2020-11-02,288,100.0,0,0.0
0,2020-11-03,287,99.7,0,0.0
0,2020-11-04,288,100.0,0,0.0
0,2020-11-05,288,100.0,0,0.0
0,2020-11-06,288,100.0,1,0.3
0,2020-11-07,288,100.0,0,0.0
0,2020-11-08,288,100.0,1,0.3
0,2020-11-09,288,100.0,1,0.3
0,2020-11-10,288,100.0,0,0.0
0,2020-11-11,288,100.0,0,0.0
0,2020-11-12,288,100.0,0,0.0
0,2020-11-13,288,100.0,0,0.0
0,2020-11-14,288,100.0,0,0.0
0,2020-11-15,288,100.0,0,0.0
0,2020-11-16,288,100.0,0,0.0
0,2020-11-17,288,100.0,1,0.3
0,2020-11-18,288,100.0,0,0.0
0,2020-11-19,288,100.0,0,0.0
0,2020-11-20,288,100.0,0,0.0
0,2020-11-21,288,100.0,0,0.0
0,2020-11-22,288,100.0,0,0.0
0,2020-11-23,288,100.0,0,0.0
0,2020-11-24,288,100.0,0,0.0
0,2020-11-25,285,99.0,9,3.2
0,2020-11-26,288,100.0,54,18.8
0,2020-11-27,288,100.0,2,0.7
0,2020-11-28,288,100.0,0,0.0
0,2020-11-29,288,100.0,0,0.0
0,2020-11-30,288,100.0,0,0.0
0,2020-12-01,288,100.0,0,0.0
0,2020-12-02,288,100.0,0,0.0
0,2020-12-03,288,100.0,0,0.0
0,2020-12-04,288,100.0,0,0.0
0,2020-12-05,288,100.0,0,0.0
0,2020-12-06,288,100.0,0,0.0
0,2020-12-07,288,100.0,102,35.4
0,2020-12-08,288,100.0,141,49.0
0,2020-12-09,288,100.0,0,0.0
0,2020-12-10,288,100.0,0,0.0
0,2020-12-11,288,100.0,0,0.0
0,2020-12-12,288,100.0,0,0.0
0,2020-12-13,288,100.0,0,0.0
0,2020-12-14,288,100.0,0,0.0
0,2020-12-15,284,98.6,0,0.0
0,2020-12-16,287,99.7,0,0.0
0,2020-12-17,287,99.7,3,1.0
0,2020-12-18,288,100.0,0,0.0
0,2020-12-19,288,100.0,0,0.0
0,2020-12-20,288,100.0,48,16.7
0,2020-12-21,288,100.0,157,54.5
0,2020-12-22,288,100.0,87,30.2
0,2020-12-23,288,100.0,112,38.9
0,2020-12-24,278,96.5,0,0.0
0,2020-12-25,288,100.0,0,0.0
0,2020-12-26,288,100.0,37,12.8
0,2020-12-27,288,100.0,0,0.0
0,2020-12-28,288,100.0,8,2.8
0,2020-12-29,288,100.0,0,0.0
0,2020-12-30,288,100.0,0,0.0
0,2020-12-31,288,100.0,19,6.6
0,2021-01-01,288,100.0,0,0.0
0,2021-01-02,288,100.0,0,0.0
0,2021-01-03,287,99.7,0,0.0
0,2021-01-04,288,100.0,0,0.0
0,2021-01-05,288,100.0,66,22.9
0,2021-01-06,288,100.0,157,54.5
0,2021-01-07,288,100.0,0,0.0
0,2021-01-08,288,100.0,1,0.3
0,2021-01-09,288,100.0,4,1.4
0,2021-01-10,288,100.0,0,0.0
0,2021-01-11,288,100.0,0,0.0
0,2021-01-12,287,99.7,0,0.0
0,2021-01-13,283,98.3,0,0.0
0,2021-01-14,287,99.7,0,0.0
0,2021-01-15,284,98.6,2,0.7
0,2021-01-16,284,98.6,0,0.0
0,2021-01-17,280,97.2,0,0.0
0,2021-01-18,288,100.0,3,1.0
0,2021-01-19,288,100.0,63,21.9
0,2021-01-20,288,100.0,0,0.0
0,2021-01-21,288,100.0,0,0.0
0,2021-01-22,288,100.0,0,0.0
0,2021-01-23,288,100.0,24,8.3
0,2021-01-24,288,100.0,109,37.8
0,2021-01-25,287,99.7,2,0.7
0,2021-01-26,288,100.0,0,0.0
0,2021-01-27,288,100.0,0,0.0
0,2021-01-28,288,100.0,0,0.0
0,2021-01-29,288,100.0,3,1.0
0,2021-01-30,288,100.0,0,0.0
0,2021-01-31,288,100.0,0,0.0
0,2021-02-01,288,100.0,0,0.0
0,2021-02-02,288,100.0,0,0.0
0,2021-02-03,288,100.0,0,0.0
0,2021-02-04,288,100.0,1,0.3
0,2021-02-05,288,100.0,0,0.0
0,2021-02-06,288,100.0,0,0.0
0,2021-02-07,288,100.0,0,0.0
0,2021-02-08,288,100.0,0,0.0
0,2021-02-09,288,100.0,0,0.0
0,2021-02-10,288,100.0,0,0.0
0,2021-02-11,288,100.0,0,0.0
0,2021-02-12,288,100.0,0,0.0
0,2021-02-13,288,100.0,4,1.4
0,2021-02-14,288,100.0,0,0.0
0,2021-02-15,288,100.0,1,0.3
0,2021-02-16,288,100.0,5,1.7
0,2021-02-17,288,100.0,131,45.5
0,2021-02-18,288,100.0,16,5.6
0,2021-02-19,288,100.0,0,0.0
0,2021-02-20,288,100.0,11,3.8
0,2021-02-21,288,100.0,0,0.0
0,2021-02-22,288,100.0,0,0.0
0,2021-02-23,287,99.7,0,0.0
0,2021-02-24,285,99.0,35,12.3
0,2021-02-25,284,98.6,15,5.3
0,2021-02-26,285,99.0,0,0.0
0,2021-02-27,273,94.8,21,7.7
0,2021-02-28,274,95.1,0,0.0
0,2021-03-01,286,99.3,0,0.0
0,2021-03-02,285,99.0,0,0.0
0,2021-03-03,268,93.1,0,0.0
0,2021-03-04,288,100.0,0,0.0
0,2021-03-05,288,100.0,0,0.0
0,2021-03-06,288,100.0,0,0.0
0,2021-03-07,288,100.0,1,0.3
0,2021-03-08,288,100.0,0,0.0
0,2021-03-09,288,100.0,0,0.0
0,2021-03-10,288,100.0,17,5.9
0,2021-03-11,288,100.0,36,12.5
0,2021-03-12,288,100.0,32,11.1
0,2021-03-13,288,100.0,1,0.3
0,2021-03-14,276,95.8,1,0.4
0,2021-03-15,288,100.0,0,0.0
0,2021-03-16,287,99.7,2,0.7
0,2021-03-17,288,100.0,122,42.4
0,2021-03-18,288,100.0,0,0.0
0,2021-03-19,287,99.7,0,0.0
0,2021-03-20,288,100.0,1,0.3
0,2021-03-21,0,0.0,0,0.0
0,2021-03-22,288,100.0,24,8.3
0,2021-03-23,288,100.0,41,14.2
0,2021-03-24,288,100.0,74,25.7
0,2021-03-25,288,100.0,0,0.0
0,2021-03-26,288,100.0,0,0.0
0,2021-03-27,288,100.0,0,0.0
0,2021-03-28,287,99.7,0,0.0
0,2021-03-29,285,99.0,0,0.0
0,2021-03-30,286,99.3,0,0.0
0,2021-03-31,288,100.0,0,0.0
0,2021-04-01,288,100.0,0,0.0
0,2021-04-02,288,100.0,0,0.0
0,2021-04-03,288,100.0,0,0.0
0,2021-04-04,287,99.7,0,0.0
0,2021-04-05,288,100.0,0,0.0
0,2021-04-06,288,100.0,0,0.0
0,2021-04-07,284,98.6,0,0.0
0,2021-04-08,279,96.9,0,0.0
0,2021-04-09,275,95.5,0,0.0
0,2021-04-10,275,95.5,0,0.0
0,2021-04-11,287,99.7,0,0.0
0,2021-04-12,288,100.0,0,0.0
0,2021-04-13,288,100.0,0,0.0
0,2021-04-14,288,100.0,0,0.0
0,2021-04-15,288,100.0,0,0.0
0,2021-04-16,288,100.0,0,0.0
0,2021-04-17,288,100.0,0,0.0
0,2021-04-18,288,100.0,0,0.0
0,2021-04-19,288,100.0,0,0.0
0,2021-04-20,257,89.2,0,0.0
0,2021-04-21,279,96.9,0,0.0
0,2021-04-22,288,100.0,0,0.0
0,2021-04-23,260,90.3,1,0.4
0,2021-04-24,288,100.0,0,0.0
0,2021-04-25,288,100.0,7,2.4
0,2021-04-26,288,100.0,13,4.5
0,2021-04-27,288,100.0,17,5.9
0,2021-04-28,0,0.0,0,0.0
0,2021-04-29,169,58.7,2,1.2
0,2021-04-30,195,67.7,0,0.0
0,2021-05-01,288,100.0,9,3.1
0,2021-05-02,288,100.0,18,6.2
0,2021-05-03,288,100.0,12,4.2
0,2021-05-04,32,11.1,0,0.0
0,2021-05-05,0,0.0,0,0.0
0,2021-05-06,244,84.7,5,2.0
0,2021-05-07,285,99.0,11,3.9
0,2021-05-08,271,94.1,12,4.4
0,2021-05-09,287,99.7,1,0.3
0,2021-05-10,0,0.0,0,0.0
0,2021-05-11,0,0.0,0,0.0
0,2021-05-12,0,0.0,0,0.0
0,2021-05-13,0,0.0,0,0.0
0,2021-05-14,0,0.0,0,0.0
0,2021-05-15,0,0.0,0,0.0
0,2021-05-16,0,0.0,0,0.0
0,2021-05-17,0,0.0,0,0.0
0,2021-05-18,0,0.0,0,0.0
0,2021-05-19,24,8.3,0,0.0
0,2021-05-20,288,100.0,4,1.4
0,2021-05-21,288,100.0,12,4.2
0,2021-05-22,288,100.0,10,3.5
0,2021-05-23,288,100.0,8,2.8
0,2021-05-24,288,100.0,22,7.6
0,2021-05-25,288,100.0,3,1.0
0,2021-05-26,288,100.0,16,5.6
0,2021-05-27,288,100.0,6,2.1
0,2021-05-28,288,100.0,0,0.0
0,2021-05-29,288,100.0,9,3.1
0,2021-05-30,288,100.0,4,1.4
0,2021-05-31,288,100.0,0,0.0
0,2021-06-01,288,100.0,0,0.0
0,2021-06-02,288,100.0,0,0.0
0,2021-06-03,288,100.0,0,0.0
0,2021-06-04,288,100.0,3,1.0
0,2021-06-05,288,100.0,1,0.3
0,2021-06-06,288,100.0,3,1.0
0,2021-06-07,288,100.0,12,4.2
0,2021-06-08,288,100.0,5,1.7
0,2021-06-09,288,100.0,22,7.6
0,2021-06-10,288,100.0,10,3.5
0,2021-06-11,288,100.0,11,3.8
0,2021-06-12,288,100.0,9,3.1
0,2021-06-13,288,100.0,7,2.4
0,2021-06-14,287,99.7,0,0.0
0,2021-06-15,288,100.0,8,2.8
0,2021-06-16,287,99.7,2,0.7
0,2021-06-17,288,100.0,2,0.7
0,2021-06-18,288,100.0,6,2.1
0,2021-06-19,287,99.7,0,0.0
0,2021-06-20,288,100.0,1,0.3
0,2021-06-21,188,65.3,2,1.1
0,2021-06-22,288,100.0,13,4.5
0,2021-06-23,288,100.0,2,0.7
0,2021-06-24,288,100.0,3,1.0
0,2021-06-25,288,100.0,8,2.8
0,2021-06-26,288,100.0,5,1.7
0,2021-06-27,288,100.0,3,1.0
0,2021-06-28,288,100.0,0,0.0
0,2021-06-29,287,99.7,8,2.8
0,2021-06-30,288,100.0,0,0.0
0,2021-07-01,288,100.0,2,0.7
0,2021-07-02,288,100.0,0,0.0
0,2021-07-03,288,100.0,12,4.2
0,2021-07-04,284,98.6,0,0.0
0,2021-07-05,288,100.0,0,0.0
0,2021-07-06,288,100.0,1,0.3
0,2021-07-07,288,100.0,5,1.7
0,2021-07-08,288,100.0,4,1.4
0,2021-07-09,286,99.3,15,5.2
0,2021-07-10,287,99.7,0,0.0
0,2021-07-11,288,100.0,0,0.0
0,2021-07-12,287,99.7,1,0.3
0,2021-07-13,288,100.0,2,0.7
0,2021-07-14,288,100.0,0,0.0
0,2021-07-15,287,99.7,0,0.0
0,2021-07-16,288,100.0,1,0.3
0,2021-07-17,288,100.0,0,0.0
0,2021-07-18,287,99.7,3,1.0
0,2021-07-19,288,100.0,0,0.0
0,2021-07-20,288,100.0,0,0.0
0,2021-07-21,288,100.0,3,1.0
0,2021-07-22,288,100.0,1,0.3
0,2021-07-23,288,100.0,5,1.7
0,2021-07-24,288,100.0,1,0.3
0,2021-07-25,288,100.0,11,3.8
0,2021-07-26,288,100.0,2,0.7
0,2021-07-27,286,99.3,0,0.0
0,2021-07-28,288,100.0,1,0.3
0,2021-07-29,288,100.0,1,0.3
0,2021-07-30,288,100.0,1,0.3
0,2021-07-31,288,100.0,2,0.7
0,2021-08-01,288,100.0,9,3.1
0,2021-08-02,288,100.0,11,3.8
0,2021-08-03,287,99.7,9,3.1
0,2021-08-04,287,99.7,2,0.7
0,2021-08-05,288,100.0,4,1.4
0,2021-08-06,288,100.0,7,2.4
0,2021-08-07,288,100.0,0,0.0
0,2021-08-08,288,100.0,11,3.8
0,2021-08-09,288,100.0,1,0.3
0,2021-08-10,288,100.0,2,0.7
0,2021-08-11,242,84.0,0,0.0
0,2021-08-12,287,99.7,4,1.4
0,2021-08-13,286,99.3,3,1.0
0,2021-08-14,286,99.3,2,0.7
0,2021-08-15,288,100.0,0,0.0
0,2021-08-16,288,100.0,3,1.0
0,2021-08-17,284,98.6,0,0.0
0,2021-08-18,288,100.0,7,2.4
0,2021-08-19,288,100.0,14,4.9
0,2021-08-20,287,99.7,2,0.7
0,2021-08-21,288,100.0,0,0.0
0,2021-08-22,288,100.0,0,0.0
0,2021-08-23,287,99.7,4,1.4
0,2021-08-24,288,100.0,0,0.0
0,2021-08-25,288,100.0,0,0.0
0,2021-08-26,288,100.0,9,3.1
0,2021-08-27,284,98.6,10,3.5
0,2021-08-28,287,99.7,42,14.6
0,2021-08-29,288,100.0,2,0.7
0,2021-08-30,286,99.3,6,2.1
0,2021-08-31,288,100.0,14,4.9
0,2021-09-01,288,100.0,0,0.0
0,2021-09-02,287,99.7,1,0.3
0,2021-09-03,288,100.0,5,1.7
0,2021-09-04,287,99.7,15,5.2
0,2021-09-05,288,100.0,6,2.1
0,2021-09-06,288,100.0,10,3.5
0,2021-09-07,286,99.3,0,0.0
0,2021-09-08,287,99.7,3,1.0
0,2021-09-09,287,99.7,3,1.0
0,2021-09-10,285,99.0,0,0.0
0,2021-09-11,287,99.7,5,1.7
0,2021-09-12,288,100.0,11,3.8
0,2021-09-13,288,100.0,10,3.5
0,2021-09-14,288,100.0,12,4.2
0,2021-09-15,288,100.0,4,1.4
0,2021-09-16,288,100.0,10,3.5
0,2021-09-17,288,100.0,0,0.0
0,2021-09-18,288,100.0,4,1.4
0,2021-09-19,288,100.0,20,6.9
0,2021-09-20,288,100.0,23,8.0
0,2021-09-21,288,100.0,18,6.2
0,2021-09-22,288,100.0,2,0.7
0,2021-09-23,288,100.0,3,1.0
0,2021-09-24,288,100.0,6,2.1
0,2021-09-25,288,100.0,10,3.5
0,2021-09-26,288,100.0,8,2.8
0,2021-09-27,288,100.0,11,3.8
0,2021-09-28,288,100.0,26,9.0
0,2021-09-29,288,100.0,23,8.0
0,2021-09-30,286,99.3,19,6.6
0,2021-10-01,288,100.0,17,5.9
0,2021-10-02,288,100.0,14,4.9
0,2021-10-03,288,100.0,6,2.1
0,2021-10-04,287,99.7,13,4.5
